image,object,size_rank,size_cat,row
set-01_pair-cb1.jpg,hen,17,medium,1
set-01_pair-cb2.jpg,pan,18,medium,2
set-01_pair-lap.jpg,egg,5,tiny,3
set-02_pair-cb1.jpg,tennis racket,22,medium,4
set-02_pair-cb2.jpg,dog,26,large,5
set-02_pair-lap.jpg,tennis ball,8,small,6
set-03_pair-cb1.jpg,cookie,6,small,7
set-03_pair-cb2.jpg,cow,29,very large,8
set-03_pair-lap.jpg,milk cup,12,small,9
set-04_pair-cb1.jpg,matchbox,3,tiny,10
set-04_pair-cb2.jpg,cake,19,medium,11
set-04_pair-lap.jpg,candles,4,tiny,12
set-05_pair-cb1.jpg,mouse,7,small,13
set-05_pair-cb2.jpg,wine bottle,14,medium,14
set-05_pair-lap.jpg,cheese wedge,11,small,15
set-06_pair-cb1.jpg,apple,9,small,16
set-06_pair-cb2.jpg,earthworm,2,tiny,17
set-06_pair-lap.jpg,fishing pole,23,large,18
unique_img-01.jpg,camera,13,small,19
unique_img-02.jpg,acoustic guitar,25,large,20
unique_img-03.jpg,globe,21,medium,21
unique_img-04.jpg,wagon,24,large,22
unique_img-05.jpg,moped,28,very large,23
unique_img-06.jpg,saguaro cactus,30,gigantic,24
unique_img-07.jpg,comb,10,small,25
unique_img-08.jpg,beanie,15,medium,26
unique_img-09.jpg,dice pair,1,tiny,27
unique_img-10.jpg,fan,20,medium,28
unique_img-11.jpg,headphones,16,medium,29
unique_img-12.jpg,rocking chair,27,large,30
